,True_uninfected
140,C101P62ThinF_IMG_20150918_151507_cell_10.png
141,C65P26N_ThinF_IMG_20150818_154010_cell_96.png
142,C236ThinF_IMG_20151127_102546_cell_134.png
143,C110P71ThinF_IMG_20150930_105319_cell_94.png
144,C158P119ThinF_IMG_20151115_181035_cell_161.png
145,C46P7ThinF_IMG_20151130_210123_cell_2.png
146,C205ThinF_IMG_20151106_151514_cell_127.png
147,C127P88ThinF_IMG_20151004_111436_cell_49.png
148,C71P32_ThinF_IMG_20150813_162016_cell_39.png
149,C121P82ThinF_IMG_20151002_134014_cell_30.png
150,C143P104ThinF_IMG_20151005_225454_cell_58.png
151,C124P85ThinF_IMG_20151002_154808_cell_13.png
152,C152P113ThinF_IMG_20151115_124853_cell_47.png
153,C123P84ThinF_IMG_20151002_150931_cell_195.png
154,C5NThinF_IMG_20150609_122227_cell_72.png
155,C53P14thinF_IMG_20150726_115046_cell_81.png
156,C96P57ThinF_IMG_20150824_105445_cell_60.png
157,C177P138NThinF_IMG_20151201_143025_cell_34.png
158,C107P68ThinF_IMG_20150924_222233_cell_93.png
159,C48P9thinF_IMG_20150721_161243_cell_89.png
160,C155P116ThinF_IMG_20151115_142836_cell_106.png
161,C137P98ThinF_IMG_20151005_160256_cell_25.png
162,C131P92ThinF_IMG_20151004_145410_cell_93.png
163,C186P147NThinF_IMG_20151203_150322_cell_106.png
164,C106P67ThinF_IMG_20150924_103636_cell_162.png
165,C67P28N_ThinF_IMG_20150819_125901_cell_210.png
166,C129P90ThinF_IMG_20151004_133244_cell_2.png
167,C238NThinF_IMG_20151207_114653_cell_95.png
168,C75P36_ThinF_IMG_20150815_163059_cell_116.png
169,C66P27N_ThinF_IMG_20150818_164408_cell_17.png
170,C104P65ThinF_IMG_20150918_171751_cell_102.png
171,C224ThinF_IMG_20151112_112834_cell_4.png
172,C173P134NThinF_IMG_20151130_125408_cell_255.png
173,C222ThinF_IMG_20151115_150728_cell_13.png
174,C149P110ThinF_IMG_20151115_115154_cell_135.png
175,C116P77ThinF_IMG_20150930_171809_cell_18.png
176,C140P101ThinF_IMG_20151005_205406_cell_132.png
177,C78P39ThinF_IMG_20150606_103413_cell_24.png
178,C56P17thinF_IMG_20150728_151330_cell_76.png
179,C235ThinF_IMG_20151112_165055_cell_12.png
180,C204ThinF_IMG_20151029_112231_cell_60.png
181,C234ThinF_IMG_20151112_162909_cell_80.png
182,C165P126ThinF_IMG_20151117_164432_cell_137.png
183,C218ThinF_IMG_20151106_144143_cell_9.png
184,C83P44ThinF_IMG_20150817_133355_cell_117.png
185,C120P81ThinF_IMG_20151002_130918_cell_73.png
186,C124P85ThinF_IMG_20151002_155223_cell_118.png
187,C76P37ThinF_IMG_20150815_172808_cell_73.png
188,C172P133ThinF_IMG_20151119_155156_cell_193.png
189,C102P63ThinF_IMG_20150918_162300_cell_129.png
190,C50P11thinF_IMG_20150724_114951_cell_51.png
191,C210ThinF_IMG_20151029_162934_cell_46.png
192,C122P83ThinF_IMG_20151002_145918_cell_95.png
193,C65P26N_ThinF_IMG_20150818_154010_cell_192.png
194,C181P142ThinF_IMG_20151127_160434_cell_28.png
195,C46P7ThinF_IMG_20151130_210938_cell_48.png
196,C85P46ThinF_IMG_20150820_110143_cell_125.png
197,C229ThinF_IMG_20151112_144652_cell_198.png
198,C226ThinF_IMG_20151112_131546_cell_65.png
199,C234ThinF_IMG_20151112_162759_cell_152.png
200,C142P103ThinF_IMG_20151005_223257_cell_148.png
201,C228ThinF_IMG_20151112_142216_cell_222.png
202,C183P144NThinF_IMG_20151201_223758_cell_59.png
203,C55P16thinF_IMG_20150728_121151_cell_13.png
204,C214ThinF_IMG_20151106_114611_cell_223.png
205,C170P131ThinF_IMG_20151119_120019_cell_130.png
206,C5NThinF_IMG_20150609_122227_cell_76.png
207,C122P83ThinF_IMG_20151002_144341_cell_72.png
208,C81P42ThinF_IMG_20150817_120856_cell_151.png
209,C228ThinF_IMG_20151112_142900_cell_20.png
210,C84P45ThinF_IMG_20150818_102654_cell_26.png
211,C96P57ThinF_IMG_20150824_105213_cell_95.png
212,C134P95ThinF_IMG_20151005_121834_cell_65.png
213,C188P149ThinF_IMG_20151203_134319_cell_146.png
214,C104P65ThinF_IMG_20150918_171154_cell_88.png
215,C97P58ThinF_IMG_20150917_145555_cell_103.png
216,C111P72ThinF_IMG_20150930_113210_cell_18.png
217,C69P30N_ThinF_IMG_20150819_140652_cell_210.png
218,C5NThinF_IMG_20150609_122034_cell_113.png
219,C149P110ThinF_IMG_20151115_114729_cell_54.png
220,C167P128ReThinF_IMG_20151201_105354_cell_125.png
221,C1_thinF_IMG_20150604_105100_cell_213.png
222,C56P17thinF_IMG_20150728_155921_cell_73.png
223,C125P86ThinF_IMG_20151004_102619_cell_71.png
224,C108P69ThinF_IMG_20150924_225004_cell_109.png
225,C134P95ThinF_IMG_20151005_122552_cell_99.png
226,C214ThinF_IMG_20151106_131748_cell_75.png
227,C57P18thinF_IMG_20150729_110305_cell_155.png
228,C53P14thinF_IMG_20150726_120600_cell_104.png
229,C95P56ThinF_IMG_20150821_171603_cell_35.png
230,C45P6ThinF_IMG_20151130_154725_cell_159.png
231,C171P132ThinF_IMG_20151119_152913_cell_146.png
232,C146P107ThinF_IMG_20151018_140342_cell_210.png
233,C151P112ThinF_IMG_20151115_122342_cell_200.png
234,C64P25N_ThinF_IMG_20150818_153401_cell_42.png
235,C78P39ThinF_IMG_20150606_103630_cell_127.png
236,C168P129ThinF_IMG_20151118_161940_cell_118.png
237,C149P110ThinF_IMG_20151115_115154_cell_34.png
238,C100P61ThinF_IMG_20150918_145422_cell_157.png
239,C37BP2_thinF_IMG_20150620_132847a_cell_7.png
240,C93P54ThinF_IMG_20150821_163452_cell_55.png
241,C122P83ThinF_IMG_20151002_145415_cell_104.png
242,C102P63ThinF_IMG_20150918_162300_cell_13.png
243,C119P80ThinF_IMG_20151002_124345_cell_93.png
244,C47P8thinOriginalOlympusCX21_IMG_20150717_173554_cell_148.png
245,C126P87ThinF_IMG_20151004_104441_cell_91.png
246,C241NThinF_IMG_20151207_124030_cell_150.png
247,C185P146ThinF_IMG_20151203_110933_cell_111.png
248,C100P61ThinF_IMG_20150918_145422_cell_138.png
249,C42P5thin_original_IMG_20150623_134547_cell_70.png
250,C74P35_ThinF_IMG_20150815_114555_cell_89.png
251,C185P146ThinF_IMG_20151203_110817_cell_79.png
252,C173P134NThinF_IMG_20151130_125408_cell_94.png
253,C46P7ThinF_IMG_20151130_210843_cell_51.png
254,C64P25N_ThinF_IMG_20150818_152613_cell_97.png
255,C166P127ThinF_IMG_20151117_194147_cell_53.png
256,C164P125ThinF_IMG_20151116_120135_cell_81.png
257,C95P56ThinF_IMG_20150821_171701_cell_90.png
258,C186P147NThinF_IMG_20151203_150132_cell_16.png
259,C115P76ThinF_IMG_20150930_163156_cell_25.png
260,C139P100ThinF_IMG_20151005_182527_cell_6.png
261,C165P126ThinF_IMG_20151117_172356_cell_127.png
262,C172P133ThinF_IMG_20151119_155019_cell_166.png
263,C49P10thinF_IMG_20150724_103054_cell_62.png
264,C91P52ThinF_IMG_20150821_124739_cell_4.png
265,C208ThinF_IMG_20151029_155436_cell_125.png
266,C206ThinF_IMG_20151029_141047_cell_262.png
267,C158P119ThinF_IMG_20151115_183157_cell_154.png
268,C114P75ThinF_IMG_20150930_150555_cell_102.png
269,C154P115ThinF_IMG_20151115_141543_cell_45.png
270,C78P39ThinF_IMG_20150606_103413_cell_20.png
271,C217ThinF_IMG_20151106_141135_cell_171.png
272,C177P138NThinF_IMG_20151201_141604_cell_76.png
273,C138P99ThinF_IMG_20151005_171116_cell_68.png
274,C216ThinF_IMG_20151106_135228_cell_132.png
275,C179P140ThinF_IMG_20151127_153436_cell_108.png
276,C223ThinF_IMG_20151112_104708_cell_115.png
277,C126P87ThinF_IMG_20151004_104813_cell_1.png
278,C71P32_ThinF_IMG_20150813_163655_cell_140.png
279,C209ThinF_IMG_20151029_160927_cell_248.png
280,C241NThinF_IMG_20151207_124358_cell_149.png
281,C105P66ThinF_IMG_20150924_095633_cell_71.png
282,C110P71ThinF_IMG_20150930_105925_cell_209.png
283,C201ThinF_IMG_20150930_143502_cell_80.png
284,C158P119ThinF_IMG_20151115_181136_cell_114.png
285,C163P124ThinF_IMG_20151116_111925_cell_177.png
286,C188P149ThinF_IMG_20151203_135433_cell_2.png
287,C176P137NThinF_IMG_20151201_122444_cell_72.png
288,C147P108ThinF_IMG_20151115_092605_cell_132.png
289,C226ThinF_IMG_20151112_131731_cell_111.png
290,C70P31_ThinF_IMG_20150819_141436_cell_13.png
291,C154P115ThinF_IMG_20151115_141543_cell_92.png
292,C104P65ThinF_IMG_20150918_171751_cell_54.png
293,C119P80ThinF_IMG_20151002_123043_cell_47.png
294,C89P50ThinF_IMG_20150820_162300_cell_188.png
295,C222ThinF_IMG_20151115_150057_cell_141.png
296,C202ThinF_IMG_20151015_152333_cell_45.png
297,C205ThinF_IMG_20151106_151800_cell_225.png
298,C106P67ThinF_IMG_20150924_102245_cell_149.png
299,C137P98ThinF_IMG_20151005_161859_cell_55.png
300,C189P150ThinF_IMG_20151203_141719_cell_6.png
301,C162P123ThinF_IMG_20151116_102655_cell_85.png
302,C57P18thinF_IMG_20150729_110305_cell_96.png
303,C143P104ThinF_IMG_20151005_225454_cell_145.png
304,C122P83ThinF_IMG_20151002_144855_cell_86.png
305,C207ThinF_IMG_20151029_144152_cell_205.png
306,C119P80ThinF_IMG_20151002_123043_cell_120.png
307,C213ThinF_IMG_20151106_112603_cell_73.png
308,C132P93ThinF_IMG_20151004_151733_cell_115.png
309,C148P109ThinF_IMG_20151115_112253_cell_212.png
310,C233ThinF_IMG_20151112_161024_cell_222.png
311,C94P55ThinF_IMG_20150821_170021_cell_32.png
312,C164P125ThinF_IMG_20151116_113954_cell_122.png
313,C221ThinF_IMG_20151106_160515_cell_25.png
314,C134P95ThinF_IMG_20151005_122552_cell_15.png
315,C91P52ThinF_IMG_20150821_123116_cell_116.png
316,C142P103ThinF_IMG_20151005_222440_cell_49.png
317,C240ThinF_IMG_20151127_115247_cell_96.png
318,C177P138NThinF_IMG_20151201_143704_cell_84.png
319,C152P113ThinF_IMG_20151115_124032_cell_36.png
320,C172P133ThinF_IMG_20151119_154936_cell_101.png
321,C119P80ThinF_IMG_20151002_124345_cell_54.png
322,C204ThinF_IMG_20151029_112502_cell_80.png
323,C240ThinF_IMG_20151127_115545_cell_138.png
324,C233ThinF_IMG_20151112_160059_cell_44.png
325,C225ThinF_IMG_20151112_113836_cell_290.png
326,C216ThinF_IMG_20151106_135337_cell_110.png
327,C67P28N_ThinF_IMG_20150819_121240_cell_219.png
328,C106P67ThinF_IMG_20150924_103811_cell_132.png
329,C42P5thin_original_IMG_20150623_134919_cell_100.png
330,C138P99ThinF_IMG_20151005_171332_cell_49.png
331,C106P67ThinF_IMG_20150924_103636_cell_163.png
332,C202ThinF_IMG_20151015_151736_cell_177.png
333,C134P95ThinF_IMG_20151005_121343_cell_68.png
334,C48P9thinF_IMG_20150721_161055_cell_57.png
335,C57P18thinF_IMG_20150729_111518_cell_4.png
336,C86P47ThinF_IMG_20150820_123717_cell_231.png
337,C101P62ThinF_IMG_20150918_151006_cell_32.png
338,C238NThinF_IMG_20151207_115017_cell_95.png
339,C51AP12thinF_IMG_20150724_154243_cell_9.png
340,C13NThinF_IMG_20150614_131553_cell_94.png
341,C218ThinF_IMG_20151106_144337_cell_215.png
342,C119P80ThinF_IMG_20151002_124304_cell_27.png
343,C100P61ThinF_IMG_20150918_145938_cell_138.png
344,C168P129ThinF_IMG_20151118_154651_cell_88.png
345,C188P149ThinF_IMG_20151203_135433_cell_121.png
346,C56P17thinF_IMG_20150728_155921_cell_37.png
347,C159P120ThinF_IMG_20151115_190642_cell_18.png
348,C232ThinF_IMG_20151112_154251_cell_184.png
349,C83P44ThinF_IMG_20150817_133454_cell_4.png
350,C128P89ThinF_IMG_20151004_131129_cell_89.png
351,C76P37ThinF_IMG_20150815_173019_cell_52.png
352,C128P89ThinF_IMG_20151004_131030_cell_116.png
353,C148P109ThinF_IMG_20151115_112253_cell_71.png
354,C102P63ThinF_IMG_20150918_162511_cell_157.png
355,C49P10thinF_IMG_20150724_102330_cell_219.png
356,C126P87ThinF_IMG_20151004_105234_cell_1.png
357,C226ThinF_IMG_20151112_131731_cell_232.png
358,C131P92ThinF_IMG_20151004_145302_cell_76.png
359,C60P21thinF_IMG_20150804_104919_cell_32.png
360,C219ThinF_IMG_20151106_150314_cell_105.png
361,C81P42ThinF_IMG_20150817_120351_cell_149.png
362,C131P92ThinF_IMG_20151004_145302_cell_125.png
363,C123P84ThinF_IMG_20151002_152144_cell_65.png
364,C151P112ThinF_IMG_20151115_121644_cell_162.png
365,C203ThinF_IMG_20151029_104112_cell_169.png
366,C134P95ThinF_IMG_20151005_121048_cell_95.png
367,C229ThinF_IMG_20151112_144652_cell_149.png
368,C124P85ThinF_IMG_20151002_155026_cell_88.png
369,C205ThinF_IMG_20151106_151514_cell_224.png
370,C111P72ThinF_IMG_20150930_112430_cell_119.png
371,C219ThinF_IMG_20151106_150314_cell_225.png
372,C97P58ThinF_IMG_20150917_151437_cell_18.png
373,C187P148NThinF_IMG_20151203_154111_cell_1.png
374,C110P71ThinF_IMG_20150930_110404_cell_43.png
375,C168P129ThinF_IMG_20151118_153739_cell_48.png
376,C152P113ThinF_IMG_20151115_124323_cell_93.png
377,C68P29N_ThinF_IMG_20150819_133447_cell_17.png
378,C228ThinF_IMG_20151112_142452_cell_195.png
379,C165P126ThinF_IMG_20151117_172356_cell_55.png
380,C74P35_ThinF_IMG_20150815_114555_cell_30.png
381,C226ThinF_IMG_20151112_131731_cell_147.png
382,C95P56ThinF_IMG_20150821_172607_cell_27.png
383,C108P69ThinF_IMG_20150924_224038_cell_85.png
384,C74P35_ThinF_IMG_20150815_113951_cell_109.png
385,C94P55ThinF_IMG_20150821_170403_cell_104.png
386,C236ThinF_IMG_20151127_102115_cell_5.png
387,C74P35_ThinF_IMG_20150815_120957_cell_22.png
388,C204ThinF_IMG_20151029_112502_cell_161.png
389,C180P141NThinF_IMG_20151201_163848_cell_73.png
390,C150P111ThinF_IMG_20151115_120029_cell_153.png
391,C140P101ThinF_IMG_20151005_205922_cell_131.png
392,C160P121ThinF_IMG_20151116_094338_cell_74.png
393,C113P74ThinF_IMG_20150930_140646_cell_31.png
394,C186P147NThinF_IMG_20151203_150859_cell_66.png
395,C93P54ThinF_IMG_20150821_164024_cell_51.png
396,C153P114ThinF_IMG_20151115_135832_cell_45.png
397,C109P70ThinF_IMG_20150930_102812_cell_72.png
398,C76P37ThinF_IMG_20150815_171454_cell_88.png
399,C128P89ThinF_IMG_20151004_131129_cell_22.png
400,C60P21thinF_IMG_20150804_104919_cell_3.png
401,C219ThinF_IMG_20151106_150027_cell_194.png
402,C88P49ThinF_IMG_20150820_152521_cell_216.png
403,C209ThinF_IMG_20151029_160721_cell_194.png
404,C130P91ThinF_IMG_20151004_141341_cell_112.png
405,C118P79ThinF_IMG_20151002_105827_cell_96.png
406,C231ThinF_IMG_20151112_153147_cell_16.png
407,C87P48ThinF_IMG_20150820_132642_cell_5.png
408,C145P106ThinF_IMG_20151016_154756_cell_5.png
409,C173P134NThinF_IMG_20151130_125501_cell_174.png
410,C47P8thin_Original_Motic_IMG_20150714_093806_cell_125.png
411,C211ThinF_IMG_20151029_164218_cell_112.png
412,C123P84ThinF_IMG_20151002_150931_cell_18.png
413,C12NThinF_IMG_20150614_124244_cell_271.png
414,C169P130ThinF_IMG_20151119_144354_cell_116.png
415,C148P109ThinF_IMG_20151115_112445_cell_20.png
416,C188P149ThinF_IMG_20151203_135433_cell_19.png
417,C221ThinF_IMG_20151106_155857_cell_150.png
418,C131P92ThinF_IMG_20151004_151126_cell_40.png
419,C154P115ThinF_IMG_20151115_141507_cell_171.png
420,C147P108ThinF_IMG_20151115_095606_cell_53.png
421,C209ThinF_IMG_20151029_160927_cell_189.png
422,C163P124ThinF_IMG_20151116_110818_cell_34.png
423,C119P80ThinF_IMG_20151002_123608_cell_51.png
424,C151P112ThinF_IMG_20151115_122342_cell_49.png
425,C157P118ThinF_IMG_20151115_162818_cell_116.png
426,C170P131ThinF_IMG_20151119_120150_cell_62.png
427,C165P126ThinF_IMG_20151117_171006_cell_68.png
428,C137P98ThinF_IMG_20151005_160256_cell_12.png
429,C38P3thinF_original_IMG_20150621_112116_cell_194.png
430,C71P32_ThinF_IMG_20150813_163120_cell_140.png
431,C97P58ThinF_IMG_20150917_151437_cell_32.png
432,C148P109ThinF_IMG_20151115_112855_cell_188.png
433,C146P107ThinF_IMG_20151018_140439_cell_80.png
434,C180P141NThinF_IMG_20151201_165423_cell_148.png
435,C186P147NThinF_IMG_20151203_150808_cell_63.png
436,C171P132ThinF_IMG_20151119_153150_cell_195.png
437,C156P117ThinF_IMG_20151115_154313_cell_49.png
438,C5NThinF_IMG_20150609_122006_cell_79.png
439,C94P55ThinF_IMG_20150821_165519_cell_262.png
440,C45P6ThinF_IMG_20151130_154725_cell_113.png
441,C109P70ThinF_IMG_20150930_102944_cell_60.png
442,C88P49ThinF_IMG_20150820_151626_cell_125.png
443,C117P78ThinF_IMG_20150930_215322_cell_75.png
444,C231ThinF_IMG_20151112_153041_cell_7.png
445,C125P86ThinF_IMG_20151004_102132_cell_95.png
446,C180P141NThinF_IMG_20151201_165423_cell_59.png
447,C59P20thinF_IMG_20150803_112733_cell_34.png
448,C146P107ThinF_IMG_20151018_135846_cell_31.png
449,C127P88ThinF_IMG_20151004_111220_cell_18.png
450,C149P110ThinF_IMG_20151115_114729_cell_76.png
451,C184P145ThinF_IMG_20151203_103326_cell_115.png
452,C39P4thinF_original_IMG_20150622_110435_cell_50.png
453,C125P86ThinF_IMG_20151004_102053_cell_76.png
454,C79P40ThinF_IMG_20150817_104316_cell_142.png
455,C188P149ThinF_IMG_20151203_134449_cell_134.png
456,C116P77ThinF_IMG_20150930_172112_cell_12.png
457,C165P126ThinF_IMG_20151117_173346_cell_142.png
458,C224ThinF_IMG_20151112_112735_cell_156.png
459,C115P76ThinF_IMG_20150930_163156_cell_204.png
460,C7NthinF_IMG_20150611_104824_cell_127.png
461,C68P29N_ThinF_IMG_20150819_134504_cell_65.png
462,C125P86ThinF_IMG_20151004_101929_cell_128.png
463,C177P138NThinF_IMG_20151201_142514_cell_60.png
464,C92P53ThinF_IMG_20150821_151224_cell_91.png
465,C235ThinF_IMG_20151112_164918_cell_191.png
466,C127P88ThinF_IMG_20151004_112004_cell_130.png
467,C175P136NThinF_IMG_20151127_141428_cell_150.png
468,C204ThinF_IMG_20151029_110834_cell_126.png
469,C96P57ThinF_IMG_20150824_112132_cell_161.png
470,C234ThinF_IMG_20151112_163036_cell_183.png
471,C237ThinF_IMG_20151127_104844_cell_129.png
472,C233ThinF_IMG_20151112_161024_cell_73.png
473,C210ThinF_IMG_20151029_162834_cell_235.png
474,C63P24N_ThinF_IMG_20150818_143757_cell_118.png
475,C78P39ThinF_IMG_20150606_103630_cell_26.png
476,C230ThinF_IMG_20151112_150730_cell_219.png
477,C139P100ThinF_IMG_20151005_182527_cell_124.png
478,C124P85ThinF_IMG_20151002_154846_cell_56.png
479,C48P9thinF_IMG_20150721_161243_cell_74.png
480,C90P51ThinF_IMG_20150821_120044_cell_228.png
481,C55P16thinF_IMG_20150728_121350_cell_173.png
482,C187P148NThinF_IMG_20151203_153410_cell_114.png
483,C4thin_original_IMG_20150608_165908_cell_191.png
484,C213ThinF_IMG_20151106_112252_cell_98.png
485,C216ThinF_IMG_20151106_135653_cell_36.png
486,C138P99ThinF_IMG_20151005_171332_cell_126.png
487,C176P137NThinF_IMG_20151201_120845_cell_94.png
488,C175P136NThinF_IMG_20151127_141428_cell_196.png
